videoId,start (M:S),end (M:S),duration_sec,tempo_bpm,mfcc_mean,tonnetz_mean,silence_ratio
-kfUE41-JFw,2:38,2:44,6.0,117.19,"[-274.4653015136719, 135.7112579345703, -2.1181106567382812, 6.4837565422058105, 45.62801742553711, -5.046685218811035, 29.933746337890625, 6.009930610656738, 8.362077713012695, 5.191211223602295, 16.35517120361328, 4.968138217926025, 7.011458396911621]","[-0.008008242880224316, -0.007300436158238094, -0.04915194703368625, 0.062331647392970944, -0.021284943218593783, 0.014064458298511814]",0.0879
-kfUE41-JFw,3:21,3:33,12.0,133.93,"[-255.7615203857422, 132.1427764892578, -3.9335086345672607, 7.33317232131958, 51.111366271972656, -12.497282028198242, 32.53511047363281, 9.773138999938965, 11.444479942321777, 2.0818867683410645, 16.80380630493164, 1.7558382749557495, 8.352676391601562]","[-0.007407826848096829, 0.016981187959789354, -0.0073544681320481635, 0.01830950355767918, 0.012186047366791356, 0.006887692907537206]",0.06
-kfUE41-JFw,3:34,3:43,9.0,122.28,"[-255.6705780029297, 154.27598571777344, 10.877074241638184, 9.21072769165039, 60.6341667175293, -13.932637214660645, 41.31864547729492, 4.714814186096191, 13.650955200195312, 0.5782213807106018, 21.450082778930664, -2.368382453918457, 9.054996490478516]","[-0.007993053066701032, 0.024882201990823007, 0.00372380534875501, 0.023885043935190316, -0.005431296565269092, 0.0068565078230185825]",0.0219
-kfUE41-JFw,3:52,3:56,4.0,119.68,"[-258.3551940917969, 122.68292999267578, -6.909362316131592, 9.971776008605957, 48.5634765625, -25.041664123535156, 39.91942596435547, 0.030562439933419228, 10.503573417663574, 10.436834335327148, 12.462289810180664, 5.613164901733398, 5.792817115783691]","[-0.002704068951727096, -0.007110758277802083, -0.01531428243399444, 0.007936043690855205, -0.0005481936515257651, -0.0017638674065390805]",0.1278
-kfUE41-JFw,3:57,4:10,13.0,108.17,"[-281.77191162109375, 114.37454223632812, -7.025299072265625, 12.521907806396484, 54.55794906616211, -20.931982040405273, 41.1340446472168, 1.4007478952407837, 13.018132209777832, 9.789545059204102, 12.417052268981934, 6.645391464233398, 6.720229625701904]","[-0.0022572869134666255, 0.01670808987623949, 0.0029561713641967856, 0.00636846473241119, 0.004398426540660177, 0.0036089402516800563]",0.1973
-kfUE41-JFw,0:11,0:23,12.0,127.84,"[-223.22256469726562, 149.37869262695312, -9.700580596923828, 6.800467014312744, 57.11146545410156, -25.651029586791992, 40.80242156982422, -3.943983554840088, 7.5845255851745605, 3.9565045833587646, 13.789375305175781, 0.2585821747779846, 10.238264083862305]","[-0.003525578812078646, -0.004976966487311828, -0.03335342159298666, 0.006493353707941553, 0.004548214428854814, 0.003109413367776392]",0.0036
-kfUE41-JFw,0:38,0:40,2.0,137.2,"[-264.6336975097656, 149.79908752441406, -6.8161516189575195, 3.4749703407287598, 55.847198486328125, -19.65735626220703, 41.39536666870117, 8.198526382446289, 12.15965747833252, 2.1204476356506348, 21.913410186767578, 4.483416557312012, 10.998244285583496]","[0.05135989861327281, 0.07298242469104524, 0.07766452700424743, 0.03810175625171394, 0.0404438994066747, -0.021294931765333532]",0.0452
-kfUE41-JFw,0:42,0:50,8.0,156.25,"[-219.32748413085938, 141.0751495361328, -12.86355972290039, -5.153237819671631, 58.09312057495117, -31.067419052124023, 40.01569366455078, -4.735226631164551, 15.865524291992188, -0.28873345255851746, 15.015164375305176, 1.5792092084884644, 9.648651123046875]","[-0.01040115311717248, -0.00576558508496149, 0.03752629941287148, 0.02808165548246414, 0.012773138630896562, 0.001196383855455798]",0.044
-kfUE41-JFw,0:51,0:54,3.0,92.21,"[-238.8989715576172, 146.55694580078125, -26.44158363342285, 2.896787166595459, 68.92314910888672, -31.2961368560791, 38.92405319213867, 0.211321160197258, 12.868833541870117, 4.898386478424072, 20.570571899414062, -0.3035866320133209, 11.164055824279785]","[-0.0014566340561053017, 0.01732529627878813, -0.025069572985980178, 0.05788967687285875, -0.011570359979736832, -0.003637030127261411]",0.0036
-kfUE41-JFw,0:55,1:05,10.0,114.8,"[-252.4071807861328, 143.0730743408203, -6.851369857788086, 0.9442607760429382, 49.83181381225586, -20.058618545532227, 33.91698455810547, 4.647175312042236, 12.487186431884766, 3.662623882293701, 18.45587730407715, 0.44979968667030334, 9.935067176818848]","[-0.008630341800883894, 0.005570674026079056, 0.005207924086893862, 0.055086422690263766, 0.0024139649527129088, -0.004944153459318683]",0.0432
4ZnQdxpZteM,2:32,2:44,12.0,143.55,"[-289.3606872558594, 136.4739227294922, -26.804767608642578, 5.019385814666748, 47.70404052734375, -29.59200096130371, 61.841060638427734, -7.014719009399414, 4.8041253089904785, 9.734966278076172, -1.3517998456954956, 9.893266677856445, -7.4532470703125]","[0.00843551172662165, -0.026738289843891625, 0.0043717387518070385, 0.0008993773037526581, -0.006794879176843961, 0.006991051326903735]",0.0725
4ZnQdxpZteM,2:57,3:03,6.0,103.36,"[-337.5848388671875, 138.4269561767578, -4.9818034172058105, 14.053555488586426, 42.7112922668457, -12.62352180480957, 43.33091354370117, -2.3337156772613525, 6.180213928222656, 9.855103492736816, 0.7807883620262146, 3.1401679515838623, -4.3401994705200195]","[-0.002025105417356146, 0.0060918222520345835, -0.017032233998179783, 0.008210244988914268, -0.003965884827602464, -0.00042569294413803455]",0.1847
4ZnQdxpZteM,5:29,5:42,13.0,129.2,"[-270.5782470703125, 133.45932006835938, -34.96390914916992, -0.8019952178001404, 50.75908279418945, -33.32294845581055, 65.1905288696289, -3.6230790615081787, 4.945864200592041, 1.141842246055603, -7.1424055099487305, 6.125976085662842, -10.426405906677246]","[0.018526283903750565, 0.016269815515249482, -0.018005227233100343, -0.037164291281702205, -0.013645914068755717, 0.0001491138489135455]",0.0241
8-2WQF3SWwo,10:19,10:22,3.0,148.03,"[-383.9228515625, 198.38238525390625, 40.69697952270508, -5.928368091583252, 31.876710891723633, 10.207380294799805, 29.093969345092773, -0.10087820887565613, 3.624790668487549, -6.8612380027771, 10.165946006774902, -5.365611553192139, 1.1295359134674072]","[-0.0515536133808838, -0.04184606604619974, 0.012661683616322462, -0.01346509911609621, 0.02121690132738403, 0.01831464451815451]",0.0639
8-2WQF3SWwo,9:27,9:56,29.0,108.17,"[-413.5338439941406, 154.28245544433594, 34.63371276855469, 0.8311960101127625, 29.097135543823242, 12.75430679321289, 20.226594924926758, 4.753773212432861, 8.894655227661133, -0.15055711567401886, 9.199085235595703, -0.8446712493896484, 2.331617593765259]","[-0.006469687448942841, -0.0037955494611065367, -0.015329476077143512, 0.013135232475256288, 0.02244907053502131, -0.002869455059837417]",0.3233
8-2WQF3SWwo,2:37,2:47,10.0,127.84,"[-373.6448974609375, 190.05511474609375, 40.37751007080078, -2.184157133102417, 31.468799591064453, 3.628246784210205, 20.008668899536133, -1.6820894479751587, 6.257296085357666, -6.046173095703125, 7.790233612060547, -6.185692310333252, -0.9942435622215271]","[0.008858894550956009, -0.002907859062755896, -0.028308859582234124, 0.029144282997357433, 0.0005747518154363393, -0.0005112488392064254]",0.0453
8-2WQF3SWwo,16:21,16:33,12.0,114.8,"[-387.0504150390625, 169.06138610839844, 35.92010498046875, 0.5853762030601501, 32.432167053222656, 6.275412559509277, 18.7418212890625, 7.319282531738281, 12.096760749816895, -4.448430061340332, 5.444443225860596, -4.435643196105957, 1.5223608016967773]","[-0.021130886945588585, -0.001720966927938785, 0.0050914482718725515, 0.021147194958317826, 0.007494994112779374, -0.002761628272439877]",0.1653
8-2WQF3SWwo,16:41,16:54,13.0,148.03,"[-380.20806884765625, 170.7944793701172, 40.78523635864258, -1.1262459754943848, 26.13968276977539, 6.913658618927002, 17.362098693847656, 2.7362051010131836, 9.230599403381348, -4.3296403884887695, 5.380244731903076, -3.751673936843872, 0.5122076272964478]","[-0.007640032869063874, -0.0001355544195749106, -0.03176375334911284, 0.012382419281765132, 0.01018129700819638, -0.007912836410267576]",0.185
8-2WQF3SWwo,16:59,17:07,8.0,133.93,"[-424.4269714355469, 148.9655303955078, 36.9745979309082, 1.6844353675842285, 26.331016540527344, 10.77277660369873, 15.878896713256836, 5.9379191398620605, 11.553763389587402, 0.3487032949924469, 6.089262008666992, -4.452183723449707, 1.1690646409988403]","[-0.003265918148827804, -0.008366064214077597, -0.041930051124608306, 0.0321700945881248, 0.017245395332815005, -0.01156996255014575]",0.4344
8-2WQF3SWwo,17:11,17:15,4.0,106.13,"[-392.7956848144531, 163.98292541503906, 36.380653381347656, 11.556272506713867, 41.07912063598633, 3.5236613750457764, 10.721219062805176, 4.073530673980713, 12.93244457244873, -5.329193115234375, 1.3032310009002686, -8.28638744354248, -0.4154004752635956]","[0.013884450110275165, 0.003206143059452375, -0.03778832319307954, 0.06263319420790685, -0.0007627054562230515, -0.00994961662155967]",0.1611
8-2WQF3SWwo,17:15,17:29,14.0,117.19,"[-375.90093994140625, 179.42343139648438, 40.85819625854492, 1.2279688119888306, 34.19143295288086, 11.92980670928955, 21.243671417236328, 5.652152061462402, 10.397016525268555, -6.148870468139648, 3.336439609527588, -6.94821310043335, 0.16228727996349335]","[0.012041518454989821, 0.009529291460578156, -0.010890489897207771, 0.010176976383731044, 0.0009203950777635102, -0.007102211769157772]",0.0804
8-2WQF3SWwo,17:39,17:58,19.0,127.84,"[-362.6578369140625, 193.3640899658203, 37.24406051635742, -19.442764282226562, 21.862627029418945, 14.020505905151367, 30.699567794799805, 2.0246143341064453, 6.7475266456604, -7.90641450881958, 7.864752769470215, -4.797454833984375, 0.14962993562221527]","[5.5590890634889394e-05, 0.007532098024253479, -0.021715587180148644, 0.017654454335962223, 0.002387209276880507, -0.0136713085533649]",0.1067
7LD8iC4NqXM,9:18,9:28,10.0,108.17,"[-417.533935546875, 152.51019287109375, 20.50045394897461, 28.95375633239746, 38.199127197265625, -27.62740707397461, 21.578550338745117, 15.635186195373535, 12.008191108703613, -7.281306743621826, 0.14507874846458435, -3.555579900741577, -1.2372605800628662]","[0.023313667844209383, 0.0023652562410675713, 0.0007806238668685509, 0.01354631441987856, 0.011141338254304356, -0.007219805697307799]",0.2436
7LD8iC4NqXM,4:46,4:55,9.0,125.0,"[-463.19598388671875, 133.38414001464844, 30.326780319213867, 33.546932220458984, 36.32023239135742, -11.187782287597656, 16.620866775512695, 12.50500202178955, 9.105558395385742, -2.753909111022949, -0.7140704989433289, -2.9512407779693604, -0.6978554129600525]","[-0.019099984729883012, -0.007631905385691023, 0.08696119735233686, 0.058338716917757265, 0.01862886969386267, 0.0077929250361901126]",0.3383
7LD8iC4NqXM,1:30,1:50,20.0,110.29,"[-449.5962829589844, 134.49078369140625, 17.572084426879883, 23.216957092285156, 30.547945022583008, -17.37828826904297, 23.10774040222168, 10.272563934326172, 9.395118713378906, -0.4037081003189087, 1.9887408018112183, -1.9753847122192383, -2.243990421295166]","[0.035554436636831416, -0.01457503371623719, 0.0003409973467727364, 0.046258628335417634, 0.009027698655035683, -0.013759019106279654]",0.3879
7LD8iC4NqXM,12:00,12:24,24.0,127.84,"[-418.1693420410156, 137.3824920654297, 16.619413375854492, 34.65250015258789, 41.58327865600586, -26.359159469604492, 24.07284927368164, 17.71564292907715, 12.562490463256836, -6.830310344696045, -2.20011305809021, -2.117321729660034, -2.542759895324707]","[0.001311272990083558, -0.008751199300529776, -0.023574666489092597, -0.0035661108185775785, 0.008408268337499839, -0.008589198426377639]",0.2928
QOPFqlFsLMw,2:07,2:13,6.0,114.8,"[-444.6924743652344, 95.1363525390625, 23.925153732299805, 4.502890586853027, 16.21318244934082, 6.38149356842041, 13.40794849395752, 5.0023651123046875, 7.746452808380127, 0.1962406039237976, -1.3911125659942627, -3.595658779144287, 3.063689947128296]","[0.011052891075182796, -0.019874082716426992, 0.006559438494796605, -0.07766061188317318, 0.0020511091349958424, -0.009548038260789532]",0.5187
QOPFqlFsLMw,3:41,3:46,5.0,95.34,"[-394.4037780761719, 115.25025177001953, 20.757274627685547, -2.0496766567230225, 17.464534759521484, 5.720015048980713, 14.229301452636719, 2.9866435527801514, 6.127581596374512, -1.7348164319992065, -1.8313912153244019, -6.320730209350586, -0.6710098385810852]","[0.022423576356175156, 0.0017370518556515287, 0.015458052973327405, -0.10212339275516086, -0.03142882238974828, -0.006053289901662524]",0.3518
QOPFqlFsLMw,4:27,4:36,9.0,119.68,"[-417.6812744140625, 128.24964904785156, 22.965517044067383, -2.4195916652679443, 21.46369171142578, 5.630300521850586, 14.106727600097656, -0.48137515783309937, 4.500166416168213, -4.599182605743408, -2.9235966205596924, -6.934574127197266, 2.40220046043396]","[0.004739147993046579, -0.013866228799523598, 0.031896107505068126, -0.037818385480535725, 0.009048576471354638, -0.0017024542317829712]",0.3531
QOPFqlFsLMw,5:53,6:02,9.0,140.62,"[-431.014892578125, 135.34193420410156, 37.866153717041016, 5.01747989654541, 20.047605514526367, 10.003641128540039, 17.69048500061035, 5.352247714996338, 6.300622940063477, -4.433506488800049, -3.373666763305664, -5.101497650146484, 2.1751043796539307]","[0.009518133713929922, -0.02085540547672268, 0.04424085091979901, -0.004226723174819695, 0.003865922154898307, -0.004503178220298521]",0.3175
bFQ8L0q8Np0,0:06,0:08,2.0,82.72,"[-371.44000244140625, 154.55567932128906, -12.681305885314941, -12.718594551086426, 30.21324348449707, -14.24145221710205, 30.798545837402344, -14.374044418334961, 4.184532165527344, 2.0888655185699463, 2.350151538848877, -3.4778964519500732, -3.086305618286133]","[0.020105181935030903, -0.016966678857262826, 0.033903785193576196, 0.002251437662089461, -0.0016055628816199527, -0.00040508680444379915]",0.2979
bFQ8L0q8Np0,0:28,0:32,4.0,119.68,"[-364.4049987792969, 165.6452178955078, 3.9342334270477295, -15.10433578491211, 23.707290649414062, -6.243618011474609, 36.807552337646484, -8.880051612854004, -0.8069788813591003, 0.8633916974067688, 10.833874702453613, -9.820588111877441, -7.445215702056885]","[-0.011214246883294919, 0.043993280831327516, 0.10147873570053734, 0.03773922449475102, -0.0008875125175707224, -0.001468451497949144]",0.1145
bFQ8L0q8Np0,0:40,0:43,3.0,117.19,"[-339.25689697265625, 166.9515838623047, 1.0537737607955933, -25.09308624267578, 28.833887100219727, 5.4944748878479, 29.511489868164062, -11.30062198638916, 0.9599832892417908, 1.0087871551513672, 15.45201301574707, -7.146612167358398, -0.6855076551437378]","[0.0778369449743608, 0.032209346465446924, 0.09445269479785186, -0.03177782378389446, 0.026532881260073037, 0.006770350729226266]",0.135
